site_id,label,address,opening_date,category,post_count,post_rate,pre_count,pre_rate,rate_change,rate_change_pct
hope_center_berkeley_way,Hope Center (Berkeley Way),2012 Berkeley Way,2022-09-01,disturbance,338.0,7.777,62.0,5.171,2.606,50.4
hope_center_berkeley_way,Hope Center (Berkeley Way),2012 Berkeley Way,2022-09-01,trespassing,89.0,2.048,13.0,1.084,0.964,88.9
hope_center_berkeley_way,Hope Center (Berkeley Way),2012 Berkeley Way,2022-09-01,welfare check,80.0,1.841,15.0,1.251,0.59,47.2
hope_center_berkeley_way,Hope Center (Berkeley Way),2012 Berkeley Way,2022-09-01,battery,38.0,0.874,8.0,0.667,0.207,31.0
hope_center_berkeley_way,Hope Center (Berkeley Way),2012 Berkeley Way,2022-09-01,vandalism,13.0,0.299,2.0,0.167,0.132,79.0
hope_center_berkeley_way,Hope Center (Berkeley Way),2012 Berkeley Way,2022-09-01,mental health,25.0,0.575,6.0,0.5,0.075,15.0
hope_center_berkeley_way,Hope Center (Berkeley Way),2012 Berkeley Way,2022-09-01,assault,3.0,0.069,0.0,0.0,0.069,
hope_center_berkeley_way,Hope Center (Berkeley Way),2012 Berkeley Way,2022-09-01,robbery,9.0,0.207,2.0,0.167,0.04,24.0
hope_center_berkeley_way,Hope Center (Berkeley Way),2012 Berkeley Way,2022-09-01,family disturbance,5.0,0.115,1.0,0.083,0.032,38.6
hope_center_berkeley_way,Hope Center (Berkeley Way),2012 Berkeley Way,2022-09-01,person down,3.0,0.069,1.0,0.083,-0.014,-16.9
hope_center_berkeley_way,Hope Center (Berkeley Way),2012 Berkeley Way,2022-09-01,noise,12.0,0.276,4.0,0.334,-0.058,-17.4
hope_center_berkeley_way,Hope Center (Berkeley Way),2012 Berkeley Way,2022-09-01,theft,111.0,2.554,37.0,3.086,-0.532,-17.2
site_1461,1461 University,1461 University Ave,2021-07-01,theft,528.0,9.184,27.0,4.566,4.618,101.1
site_1461,1461 University,1461 University Ave,2021-07-01,welfare check,93.0,1.618,5.0,0.846,0.772,91.3
site_1461,1461 University,1461 University Ave,2021-07-01,disturbance,249.0,4.331,22.0,3.72,0.611,16.4
