year,month_num,date,non_traffic_count,label,series_id
2021,1,2021-01-01,67,North Shattuck,north_shattuck
2021,2,2021-02-01,76,North Shattuck,north_shattuck
2021,3,2021-03-01,68,North Shattuck,north_shattuck
2021,4,2021-04-01,70,North Shattuck,north_shattuck
2021,5,2021-05-01,76,North Shattuck,north_shattuck
2021,6,2021-06-01,66,North Shattuck,north_shattuck
2021,7,2021-07-01,58,North Shattuck,north_shattuck
2021,8,2021-08-01,94,North Shattuck,north_shattuck
2021,9,2021-09-01,111,North Shattuck,north_shattuck
2021,10,2021-10-01,99,North Shattuck,north_shattuck
2021,11,2021-11-01,75,North Shattuck,north_shattuck
2021,12,2021-12-01,58,North Shattuck,north_shattuck
2022,1,2022-01-01,84,North Shattuck,north_shattuck
2022,2,2022-02-01,59,North Shattuck,north_shattuck
2022,3,2022-03-01,66,North Shattuck,north_shattuck
2022,4,2022-04-01,78,North Shattuck,north_shattuck
2022,5,2022-05-01,84,North Shattuck,north_shattuck
2022,6,2022-06-01,92,North Shattuck,north_shattuck
2022,7,2022-07-01,72,North Shattuck,north_shattuck
2022,8,2022-08-01,86,North Shattuck,north_shattuck
2022,9,2022-09-01,86,North Shattuck,north_shattuck
2022,10,2022-10-01,64,North Shattuck,north_shattuck
2022,11,2022-11-01,61,North Shattuck,north_shattuck
2022,12,2022-12-01,59,North Shattuck,north_shattuck
2023,1,2023-01-01,73,North Shattuck,north_shattuck
2023,2,2023-02-01,57,North Shattuck,north_shattuck
2023,3,2023-03-01,66,North Shattuck,north_shattuck
2023,4,2023-04-01,67,North Shattuck,north_shattuck
2023,5,2023-05-01,59,North Shattuck,north_shattuck
2023,6,2023-06-01,65,North Shattuck,north_shattuck
2023,7,2023-07-01,85,North Shattuck,north_shattuck
2023,8,2023-08-01,72,North Shattuck,north_shattuck
2023,9,2023-09-01,77,North Shattuck,north_shattuck
2023,10,2023-10-01,74,North Shattuck,north_shattuck
2023,11,2023-11-01,63,North Shattuck,north_shattuck
2023,12,2023-12-01,59,North Shattuck,north_shattuck
2024,1,2024-01-01,43,North Shattuck,north_shattuck
2024,2,2024-02-01,66,North Shattuck,north_shattuck
2024,3,2024-03-01,53,North Shattuck,north_shattuck
2024,4,2024-04-01,64,North Shattuck,north_shattuck
2024,5,2024-05-01,94,North Shattuck,north_shattuck
2024,6,2024-06-01,75,North Shattuck,north_shattuck
2024,7,2024-07-01,77,North Shattuck,north_shattuck
2024,8,2024-08-01,101,North Shattuck,north_shattuck
2024,9,2024-09-01,69,North Shattuck,north_shattuck
2024,10,2024-10-01,69,North Shattuck,north_shattuck
2024,11,2024-11-01,61,North Shattuck,north_shattuck
2024,12,2024-12-01,50,North Shattuck,north_shattuck
2025,1,2025-01-01,59,North Shattuck,north_shattuck
2025,2,2025-02-01,37,North Shattuck,north_shattuck
2025,3,2025-03-01,54,North Shattuck,north_shattuck
2025,4,2025-04-01,57,North Shattuck,north_shattuck
2025,5,2025-05-01,57,North Shattuck,north_shattuck
2025,6,2025-06-01,59,North Shattuck,north_shattuck
2025,7,2025-07-01,52,North Shattuck,north_shattuck
2025,8,2025-08-01,50,North Shattuck,north_shattuck
2025,9,2025-09-01,63,North Shattuck,north_shattuck
2025,10,2025-10-01,54,North Shattuck,north_shattuck
2025,11,2025-11-01,49,North Shattuck,north_shattuck
2025,12,2025-12-01,35,North Shattuck,north_shattuck
2026,1,2026-01-01,44,North Shattuck,north_shattuck
2026,2,2026-02-01,53,North Shattuck,north_shattuck
2026,3,2026-03-01,42,North Shattuck,north_shattuck
2026,4,2026-04-01,18,North Shattuck,north_shattuck
2021,1,2021-01-01,41,South Telegraph,south_telegraph
2021,2,2021-02-01,42,South Telegraph,south_telegraph
2021,3,2021-03-01,43,South Telegraph,south_telegraph
2021,4,2021-04-01,57,South Telegraph,south_telegraph
2021,5,2021-05-01,45,South Telegraph,south_telegraph
2021,6,2021-06-01,49,South Telegraph,south_telegraph
2021,7,2021-07-01,47,South Telegraph,south_telegraph
2021,8,2021-08-01,54,South Telegraph,south_telegraph
2021,9,2021-09-01,51,South Telegraph,south_telegraph
2021,10,2021-10-01,59,South Telegraph,south_telegraph
2021,11,2021-11-01,53,South Telegraph,south_telegraph
2021,12,2021-12-01,44,South Telegraph,south_telegraph
2022,1,2022-01-01,55,South Telegraph,south_telegraph
2022,2,2022-02-01,52,South Telegraph,south_telegraph
2022,3,2022-03-01,57,South Telegraph,south_telegraph
2022,4,2022-04-01,48,South Telegraph,south_telegraph
2022,5,2022-05-01,55,South Telegraph,south_telegraph
2022,6,2022-06-01,54,South Telegraph,south_telegraph
2022,7,2022-07-01,53,South Telegraph,south_telegraph
2022,8,2022-08-01,58,South Telegraph,south_telegraph
2022,9,2022-09-01,54,South Telegraph,south_telegraph
2022,10,2022-10-01,72,South Telegraph,south_telegraph
2022,11,2022-11-01,50,South Telegraph,south_telegraph
2022,12,2022-12-01,52,South Telegraph,south_telegraph
2023,1,2023-01-01,54,South Telegraph,south_telegraph
2023,2,2023-02-01,41,South Telegraph,south_telegraph
2023,3,2023-03-01,61,South Telegraph,south_telegraph
2023,4,2023-04-01,75,South Telegraph,south_telegraph
2023,5,2023-05-01,70,South Telegraph,south_telegraph
2023,6,2023-06-01,55,South Telegraph,south_telegraph
2023,7,2023-07-01,63,South Telegraph,south_telegraph
2023,8,2023-08-01,50,South Telegraph,south_telegraph
2023,9,2023-09-01,47,South Telegraph,south_telegraph
2023,10,2023-10-01,52,South Telegraph,south_telegraph
2023,11,2023-11-01,38,South Telegraph,south_telegraph
2023,12,2023-12-01,42,South Telegraph,south_telegraph
2024,1,2024-01-01,47,South Telegraph,south_telegraph
2024,2,2024-02-01,55,South Telegraph,south_telegraph
2024,3,2024-03-01,42,South Telegraph,south_telegraph
2024,4,2024-04-01,47,South Telegraph,south_telegraph
2024,5,2024-05-01,28,South Telegraph,south_telegraph
2024,6,2024-06-01,33,South Telegraph,south_telegraph
2024,7,2024-07-01,38,South Telegraph,south_telegraph
2024,8,2024-08-01,36,South Telegraph,south_telegraph
2024,9,2024-09-01,46,South Telegraph,south_telegraph
2024,10,2024-10-01,46,South Telegraph,south_telegraph
2024,11,2024-11-01,40,South Telegraph,south_telegraph
2024,12,2024-12-01,48,South Telegraph,south_telegraph
2025,1,2025-01-01,47,South Telegraph,south_telegraph
2025,2,2025-02-01,32,South Telegraph,south_telegraph
2025,3,2025-03-01,41,South Telegraph,south_telegraph
2025,4,2025-04-01,47,South Telegraph,south_telegraph
2025,5,2025-05-01,75,South Telegraph,south_telegraph
2025,6,2025-06-01,42,South Telegraph,south_telegraph
2025,7,2025-07-01,30,South Telegraph,south_telegraph
2025,8,2025-08-01,59,South Telegraph,south_telegraph
2025,9,2025-09-01,48,South Telegraph,south_telegraph
2025,10,2025-10-01,47,South Telegraph,south_telegraph
2025,11,2025-11-01,44,South Telegraph,south_telegraph
2025,12,2025-12-01,44,South Telegraph,south_telegraph
2026,1,2026-01-01,30,South Telegraph,south_telegraph
2026,2,2026-02-01,33,South Telegraph,south_telegraph
2026,3,2026-03-01,37,South Telegraph,south_telegraph
2026,4,2026-04-01,22,South Telegraph,south_telegraph
