corridor_id,corridor_label,window_start,window_end,year,month,current_count,prior_year_count,yoy_pct_change
north_shattuck,North Shattuck,2022-01-01,2022-04-01,2022,1,209,211,-0.9
north_shattuck,North Shattuck,2022-02-01,2022-05-01,2022,2,203,214,-5.1
north_shattuck,North Shattuck,2022-03-01,2022-06-01,2022,3,228,214,6.5
north_shattuck,North Shattuck,2022-04-01,2022-07-01,2022,4,254,212,19.8
north_shattuck,North Shattuck,2022-05-01,2022-08-01,2022,5,248,200,24.0
north_shattuck,North Shattuck,2022-06-01,2022-09-01,2022,6,250,218,14.7
north_shattuck,North Shattuck,2022-07-01,2022-10-01,2022,7,244,263,-7.2
north_shattuck,North Shattuck,2022-08-01,2022-11-01,2022,8,236,304,-22.4
north_shattuck,North Shattuck,2022-09-01,2022-12-01,2022,9,211,285,-26.0
north_shattuck,North Shattuck,2022-10-01,2023-01-01,2022,10,184,232,-20.7
north_shattuck,North Shattuck,2022-11-01,2023-02-01,2022,11,193,217,-11.1
north_shattuck,North Shattuck,2022-12-01,2023-03-01,2022,12,189,201,-6.0
north_shattuck,North Shattuck,2023-01-01,2023-04-01,2023,1,196,209,-6.2
north_shattuck,North Shattuck,2023-02-01,2023-05-01,2023,2,190,203,-6.4
north_shattuck,North Shattuck,2023-03-01,2023-06-01,2023,3,192,228,-15.8
north_shattuck,North Shattuck,2023-04-01,2023-07-01,2023,4,191,254,-24.8
north_shattuck,North Shattuck,2023-05-01,2023-08-01,2023,5,209,248,-15.7
north_shattuck,North Shattuck,2023-06-01,2023-09-01,2023,6,222,250,-11.2
north_shattuck,North Shattuck,2023-07-01,2023-10-01,2023,7,234,244,-4.1
north_shattuck,North Shattuck,2023-08-01,2023-11-01,2023,8,223,236,-5.5
north_shattuck,North Shattuck,2023-09-01,2023-12-01,2023,9,214,211,1.4
north_shattuck,North Shattuck,2023-10-01,2024-01-01,2023,10,196,184,6.5
north_shattuck,North Shattuck,2023-11-01,2024-02-01,2023,11,165,193,-14.5
north_shattuck,North Shattuck,2023-12-01,2024-03-01,2023,12,168,189,-11.1
north_shattuck,North Shattuck,2024-01-01,2024-04-01,2024,1,162,196,-17.3
north_shattuck,North Shattuck,2024-02-01,2024-05-01,2024,2,183,190,-3.7
north_shattuck,North Shattuck,2024-03-01,2024-06-01,2024,3,211,192,9.9
north_shattuck,North Shattuck,2024-04-01,2024-07-01,2024,4,233,191,22.0
north_shattuck,North Shattuck,2024-05-01,2024-08-01,2024,5,246,209,17.7
north_shattuck,North Shattuck,2024-06-01,2024-09-01,2024,6,253,222,14.0
north_shattuck,North Shattuck,2024-07-01,2024-10-01,2024,7,247,234,5.6
north_shattuck,North Shattuck,2024-08-01,2024-11-01,2024,8,239,223,7.2
north_shattuck,North Shattuck,2024-09-01,2024-12-01,2024,9,199,214,-7.0
north_shattuck,North Shattuck,2024-10-01,2025-01-01,2024,10,180,196,-8.2
north_shattuck,North Shattuck,2024-11-01,2025-02-01,2024,11,170,165,3.0
north_shattuck,North Shattuck,2024-12-01,2025-03-01,2024,12,146,168,-13.1
