corridor,avg_monthly_2021,avg_monthly_2025,trajectory_index,annual_calls_2021,is_study_corridor,rank,rank_of
Shattuck Avenue (north of University),35.1,60.2,171.5,421,True,1,14
University Avenue (east of MLK),43.3,72.4,167.1,520,True,2,14
Monterey Avenue,23.1,29.2,126.7,277,False,3,14
Gilman Street,29.7,33.2,111.8,356,False,4,14
University Avenue (west of MLK),113.1,114.8,101.5,1357,True,5,14
San Pablo Avenue (north),59.0,59.1,100.1,708,True,6,14
Bancroft Way,80.5,75.6,93.9,966,False,7,14
Durant Avenue,43.3,39.7,91.5,520,False,8,14
San Pablo Avenue (south),43.8,39.5,90.3,525,True,9,14
Shattuck Avenue (south of University),36.3,31.1,85.6,436,True,10,14
Ashby Avenue,50.7,42.4,83.7,608,False,11,14
Adeline Street (south),56.1,44.9,80.1,673,False,12,14
Shattuck Place,42.7,32.6,76.4,512,False,13,14
Telegraph Avenue (south),33.8,23.9,70.7,406,True,14,14
