year,month_num,date,non_traffic_count,rolling_3mo_avg,prior_year_count,yoy_pct_change
2021,1,2021-01-01,77,77.0,,
2021,2,2021-02-01,58,67.5,,
2021,3,2021-03-01,56,63.7,,
2021,4,2021-04-01,59,57.7,,
2021,5,2021-05-01,63,59.3,,
2021,6,2021-06-01,58,60.0,,
2021,7,2021-07-01,58,59.7,,
2021,8,2021-08-01,53,56.3,,
2021,9,2021-09-01,54,55.0,,
2021,10,2021-10-01,58,55.0,,
2021,11,2021-11-01,58,56.7,,
2021,12,2021-12-01,72,62.7,,
2022,1,2022-01-01,66,65.3,77.0,-14.3
2022,2,2022-02-01,56,64.7,58.0,-3.4
2022,3,2022-03-01,82,68.0,56.0,46.4
2022,4,2022-04-01,51,63.0,59.0,-13.6
2022,5,2022-05-01,67,66.7,63.0,6.3
2022,6,2022-06-01,64,60.7,58.0,10.3
2022,7,2022-07-01,68,66.3,58.0,17.2
2022,8,2022-08-01,68,66.7,53.0,28.3
2022,9,2022-09-01,60,65.3,54.0,11.1
2022,10,2022-10-01,74,67.3,58.0,27.6
2022,11,2022-11-01,66,66.7,58.0,13.8
2022,12,2022-12-01,50,63.3,72.0,-30.6
2023,1,2023-01-01,53,56.3,66.0,-19.7
2023,2,2023-02-01,67,56.7,56.0,19.6
2023,3,2023-03-01,66,62.0,82.0,-19.5
2023,4,2023-04-01,78,70.3,51.0,52.9
2023,5,2023-05-01,69,71.0,67.0,3.0
2023,6,2023-06-01,61,69.3,64.0,-4.7
2023,7,2023-07-01,84,71.3,68.0,23.5
2023,8,2023-08-01,80,75.0,68.0,17.6
2023,9,2023-09-01,103,89.0,60.0,71.7
2023,10,2023-10-01,56,79.7,74.0,-24.3
2023,11,2023-11-01,50,69.7,66.0,-24.2
2023,12,2023-12-01,62,56.0,50.0,24.0
2024,1,2024-01-01,72,61.3,53.0,35.8
2024,2,2024-02-01,61,65.0,67.0,-9.0
2024,3,2024-03-01,59,64.0,66.0,-10.6
2024,4,2024-04-01,67,62.3,78.0,-14.1
2024,5,2024-05-01,50,58.7,69.0,-27.5
2024,6,2024-06-01,58,58.3,61.0,-4.9
2024,7,2024-07-01,113,73.7,84.0,34.5
2024,8,2024-08-01,63,78.0,80.0,-21.2
2024,9,2024-09-01,74,83.3,103.0,-28.2
2024,10,2024-10-01,84,73.7,56.0,50.0
2024,11,2024-11-01,61,73.0,50.0,22.0
2024,12,2024-12-01,72,72.3,62.0,16.1
2025,1,2025-01-01,68,67.0,72.0,-5.6
2025,2,2025-02-01,69,69.7,61.0,13.1
2025,3,2025-03-01,87,74.7,59.0,47.5
2025,4,2025-04-01,97,84.3,67.0,44.8
2025,5,2025-05-01,90,91.3,50.0,80.0
2025,6,2025-06-01,84,90.3,58.0,44.8
2025,7,2025-07-01,86,86.7,113.0,-23.9
2025,8,2025-08-01,82,84.0,63.0,30.2
2025,9,2025-09-01,77,81.7,74.0,4.1
2025,10,2025-10-01,69,76.0,84.0,-17.9
2025,11,2025-11-01,66,70.7,61.0,8.2
2025,12,2025-12-01,84,73.0,72.0,16.7
2026,1,2026-01-01,57,69.0,68.0,-16.2
2026,2,2026-02-01,63,68.0,69.0,-8.7
2026,3,2026-03-01,84,68.0,87.0,-3.4
2026,4,2026-04-01,36,61.0,97.0,-62.9
