date,count,rolling_3mo_avg
2021-01-01,46,
2021-02-01,42,40.7
2021-03-01,34,41.7
2021-04-01,49,39.0
2021-05-01,34,36.0
2021-06-01,25,30.7
2021-07-01,33,28.3
2021-08-01,27,29.0
2021-09-01,27,30.3
2021-10-01,37,32.0
2021-11-01,32,34.7
2021-12-01,35,35.7
2022-01-01,40,35.0
2022-02-01,30,33.7
2022-03-01,31,33.7
2022-04-01,40,35.3
2022-05-01,35,50.7
2022-06-01,77,58.0
2022-07-01,62,68.0
2022-08-01,65,61.7
2022-09-01,58,57.7
2022-10-01,50,56.7
2022-11-01,62,55.3
2022-12-01,54,58.3
2023-01-01,59,53.3
2023-02-01,47,66.3
2023-03-01,93,66.0
2023-04-01,58,67.3
2023-05-01,51,50.0
2023-06-01,41,43.0
2023-07-01,37,42.3
2023-08-01,49,48.3
2023-09-01,59,56.7
2023-10-01,62,56.3
2023-11-01,48,49.7
2023-12-01,39,42.0
2024-01-01,39,39.7
2024-02-01,41,43.7
2024-03-01,51,43.3
2024-04-01,38,42.7
2024-05-01,39,40.3
2024-06-01,44,45.3
2024-07-01,53,51.3
2024-08-01,57,56.3
2024-09-01,59,62.3
2024-10-01,71,68.0
2024-11-01,74,66.0
2024-12-01,53,67.3
2025-01-01,75,67.0
2025-02-01,73,74.7
2025-03-01,76,74.0
2025-04-01,73,65.7
2025-05-01,48,53.3
2025-06-01,39,44.0
2025-07-01,45,44.3
2025-08-01,49,52.3
2025-09-01,63,59.3
2025-10-01,66,62.7
2025-11-01,59,60.3
2025-12-01,56,68.0
2026-01-01,89,70.3
2026-02-01,66,74.3
2026-03-01,68,52.7
2026-04-01,24,
