site_id,address,opening_date,year,month_num,date,non_traffic_count,is_post_opening
site_1461,1461 University Ave,2021-07-01,2021,1,2021-01-01,17,False
site_1461,1461 University Ave,2021-07-01,2021,2,2021-02-01,8,False
site_1461,1461 University Ave,2021-07-01,2021,3,2021-03-01,7,False
site_1461,1461 University Ave,2021-07-01,2021,4,2021-04-01,8,False
site_1461,1461 University Ave,2021-07-01,2021,5,2021-05-01,13,False
site_1461,1461 University Ave,2021-07-01,2021,6,2021-06-01,15,False
site_1461,1461 University Ave,2021-07-01,2021,7,2021-07-01,9,True
site_1461,1461 University Ave,2021-07-01,2021,8,2021-08-01,5,True
site_1461,1461 University Ave,2021-07-01,2021,9,2021-09-01,8,True
site_1461,1461 University Ave,2021-07-01,2021,10,2021-10-01,15,True
site_1461,1461 University Ave,2021-07-01,2021,11,2021-11-01,22,True
site_1461,1461 University Ave,2021-07-01,2021,12,2021-12-01,22,True
site_1461,1461 University Ave,2021-07-01,2022,1,2022-01-01,21,True
site_1461,1461 University Ave,2021-07-01,2022,2,2022-02-01,20,True
site_1461,1461 University Ave,2021-07-01,2022,3,2022-03-01,26,True
site_1461,1461 University Ave,2021-07-01,2022,4,2022-04-01,20,True
site_1461,1461 University Ave,2021-07-01,2022,5,2022-05-01,13,True
site_1461,1461 University Ave,2021-07-01,2022,6,2022-06-01,22,True
site_1461,1461 University Ave,2021-07-01,2022,7,2022-07-01,15,True
site_1461,1461 University Ave,2021-07-01,2022,8,2022-08-01,19,True
site_1461,1461 University Ave,2021-07-01,2022,9,2022-09-01,18,True
site_1461,1461 University Ave,2021-07-01,2022,10,2022-10-01,22,True
site_1461,1461 University Ave,2021-07-01,2022,11,2022-11-01,21,True
site_1461,1461 University Ave,2021-07-01,2022,12,2022-12-01,13,True
site_1461,1461 University Ave,2021-07-01,2023,1,2023-01-01,16,True
site_1461,1461 University Ave,2021-07-01,2023,2,2023-02-01,22,True
site_1461,1461 University Ave,2021-07-01,2023,3,2023-03-01,16,True
site_1461,1461 University Ave,2021-07-01,2023,4,2023-04-01,19,True
site_1461,1461 University Ave,2021-07-01,2023,5,2023-05-01,21,True
site_1461,1461 University Ave,2021-07-01,2023,6,2023-06-01,17,True
site_1461,1461 University Ave,2021-07-01,2023,7,2023-07-01,21,True
site_1461,1461 University Ave,2021-07-01,2023,8,2023-08-01,30,True
site_1461,1461 University Ave,2021-07-01,2023,9,2023-09-01,9,True
site_1461,1461 University Ave,2021-07-01,2023,10,2023-10-01,6,True
site_1461,1461 University Ave,2021-07-01,2023,11,2023-11-01,8,True
site_1461,1461 University Ave,2021-07-01,2023,12,2023-12-01,12,True
site_1461,1461 University Ave,2021-07-01,2024,1,2024-01-01,7,True
site_1461,1461 University Ave,2021-07-01,2024,2,2024-02-01,7,True
site_1461,1461 University Ave,2021-07-01,2024,3,2024-03-01,7,True
site_1461,1461 University Ave,2021-07-01,2024,4,2024-04-01,7,True
site_1461,1461 University Ave,2021-07-01,2024,5,2024-05-01,8,True
site_1461,1461 University Ave,2021-07-01,2024,6,2024-06-01,8,True
site_1461,1461 University Ave,2021-07-01,2024,7,2024-07-01,32,True
site_1461,1461 University Ave,2021-07-01,2024,8,2024-08-01,11,True
site_1461,1461 University Ave,2021-07-01,2024,9,2024-09-01,24,True
site_1461,1461 University Ave,2021-07-01,2024,10,2024-10-01,15,True
site_1461,1461 University Ave,2021-07-01,2024,11,2024-11-01,17,True
site_1461,1461 University Ave,2021-07-01,2024,12,2024-12-01,21,True
site_1461,1461 University Ave,2021-07-01,2025,1,2025-01-01,14,True
site_1461,1461 University Ave,2021-07-01,2025,2,2025-02-01,13,True
site_1461,1461 University Ave,2021-07-01,2025,3,2025-03-01,32,True
site_1461,1461 University Ave,2021-07-01,2025,4,2025-04-01,29,True
site_1461,1461 University Ave,2021-07-01,2025,5,2025-05-01,36,True
site_1461,1461 University Ave,2021-07-01,2025,6,2025-06-01,25,True
site_1461,1461 University Ave,2021-07-01,2025,7,2025-07-01,43,True
site_1461,1461 University Ave,2021-07-01,2025,8,2025-08-01,35,True
site_1461,1461 University Ave,2021-07-01,2025,9,2025-09-01,22,True
site_1461,1461 University Ave,2021-07-01,2025,10,2025-10-01,18,True
site_1461,1461 University Ave,2021-07-01,2025,11,2025-11-01,31,True
site_1461,1461 University Ave,2021-07-01,2025,12,2025-12-01,34,True
site_1461,1461 University Ave,2021-07-01,2026,1,2026-01-01,14,True
site_1461,1461 University Ave,2021-07-01,2026,2,2026-02-01,15,True
site_1461,1461 University Ave,2021-07-01,2026,3,2026-03-01,37,True
site_1461,1461 University Ave,2021-07-01,2026,4,2026-04-01,11,True
site_1619,1619 University Ave,2023-07-31,2021,1,2021-01-01,1,False
site_1619,1619 University Ave,2023-07-31,2021,2,2021-02-01,3,False
site_1619,1619 University Ave,2023-07-31,2021,3,2021-03-01,2,False
site_1619,1619 University Ave,2023-07-31,2021,4,2021-04-01,4,False
site_1619,1619 University Ave,2023-07-31,2021,5,2021-05-01,1,False
site_1619,1619 University Ave,2023-07-31,2021,6,2021-06-01,4,False
site_1619,1619 University Ave,2023-07-31,2021,7,2021-07-01,3,False
site_1619,1619 University Ave,2023-07-31,2021,8,2021-08-01,4,False
site_1619,1619 University Ave,2023-07-31,2021,9,2021-09-01,4,False
site_1619,1619 University Ave,2023-07-31,2021,10,2021-10-01,6,False
