site_id,address,window_start,window_end,year,month,current_count,prior_year_count,yoy_pct_change,is_post_opening
site_1461,1461 University Ave,2022-01-01,2022-04-01,2022,1,272,285,-4.6,True
site_1461,1461 University Ave,2022-02-01,2022-05-01,2022,2,255,323,-21.1,True
site_1461,1461 University Ave,2022-03-01,2022-06-01,2022,3,256,339,-24.5,True
site_1461,1461 University Ave,2022-04-01,2022-07-01,2022,4,266,357,-25.5,True
site_1461,1461 University Ave,2022-05-01,2022-08-01,2022,5,293,316,-7.3,True
site_1461,1461 University Ave,2022-06-01,2022-09-01,2022,6,308,307,0.3,True
site_1461,1461 University Ave,2022-07-01,2022-10-01,2022,7,307,303,1.3,True
site_1461,1461 University Ave,2022-08-01,2022-11-01,2022,8,327,308,6.2,True
site_1461,1461 University Ave,2022-09-01,2022-12-01,2022,9,302,300,0.7,True
site_1461,1461 University Ave,2022-10-01,2023-01-01,2022,10,278,278,0.0,True
site_1461,1461 University Ave,2022-11-01,2023-02-01,2022,11,244,264,-7.6,True
site_1461,1461 University Ave,2022-12-01,2023-03-01,2022,12,231,275,-16.0,True
site_1461,1461 University Ave,2023-01-01,2023-04-01,2023,1,234,272,-14.0,True
site_1461,1461 University Ave,2023-02-01,2023-05-01,2023,2,236,255,-7.5,True
site_1461,1461 University Ave,2023-03-01,2023-06-01,2023,3,248,256,-3.1,True
site_1461,1461 University Ave,2023-04-01,2023-07-01,2023,4,259,266,-2.6,True
site_1461,1461 University Ave,2023-05-01,2023-08-01,2023,5,270,293,-7.8,True
site_1461,1461 University Ave,2023-06-01,2023-09-01,2023,6,299,308,-2.9,True
site_1461,1461 University Ave,2023-07-01,2023-10-01,2023,7,336,307,9.4,True
site_1461,1461 University Ave,2023-08-01,2023-11-01,2023,8,318,327,-2.8,True
site_1461,1461 University Ave,2023-09-01,2023-12-01,2023,9,278,302,-7.9,True
site_1461,1461 University Ave,2023-10-01,2024-01-01,2023,10,255,278,-8.3,True
site_1461,1461 University Ave,2023-11-01,2024-02-01,2023,11,279,244,14.3,True
site_1461,1461 University Ave,2023-12-01,2024-03-01,2023,12,286,231,23.8,True
site_1461,1461 University Ave,2024-01-01,2024-04-01,2024,1,274,234,17.1,True
site_1461,1461 University Ave,2024-02-01,2024-05-01,2024,2,262,236,11.0,True
site_1461,1461 University Ave,2024-03-01,2024-06-01,2024,3,269,248,8.5,True
site_1461,1461 University Ave,2024-04-01,2024-07-01,2024,4,268,259,3.5,True
site_1461,1461 University Ave,2024-05-01,2024-08-01,2024,5,303,270,12.2,True
site_1461,1461 University Ave,2024-06-01,2024-09-01,2024,6,307,299,2.7,True
site_1461,1461 University Ave,2024-07-01,2024-10-01,2024,7,319,336,-5.1,True
site_1461,1461 University Ave,2024-08-01,2024-11-01,2024,8,300,318,-5.7,True
site_1461,1461 University Ave,2024-09-01,2024-12-01,2024,9,279,278,0.4,True
