year,month_num,date,non_traffic_count
2021,1,2021-01-01,21
2021,2,2021-02-01,9
2021,3,2021-03-01,15
2021,4,2021-04-01,6
2021,5,2021-05-01,13
2021,6,2021-06-01,14
2021,7,2021-07-01,15
2021,8,2021-08-01,22
2021,9,2021-09-01,11
2021,10,2021-10-01,5
2021,11,2021-11-01,12
2021,12,2021-12-01,17
2022,1,2022-01-01,19
2022,2,2022-02-01,8
2022,3,2022-03-01,19
2022,4,2022-04-01,12
2022,5,2022-05-01,20
2022,6,2022-06-01,16
2022,7,2022-07-01,12
2022,8,2022-08-01,21
2022,9,2022-09-01,14
2022,10,2022-10-01,15
2022,11,2022-11-01,10
2022,12,2022-12-01,11
2023,1,2023-01-01,14
2023,2,2023-02-01,17
2023,3,2023-03-01,20
2023,4,2023-04-01,11
2023,5,2023-05-01,18
2023,6,2023-06-01,15
2023,7,2023-07-01,21
2023,8,2023-08-01,15
2023,9,2023-09-01,19
2023,10,2023-10-01,17
2023,11,2023-11-01,18
2023,12,2023-12-01,15
2024,1,2024-01-01,24
2024,2,2024-02-01,14
2024,3,2024-03-01,20
2024,4,2024-04-01,25
2024,5,2024-05-01,27
2024,6,2024-06-01,25
2024,7,2024-07-01,20
2024,8,2024-08-01,29
2024,9,2024-09-01,32
2024,10,2024-10-01,15
2024,11,2024-11-01,14
2024,12,2024-12-01,14
2025,1,2025-01-01,18
2025,2,2025-02-01,29
2025,3,2025-03-01,9
2025,4,2025-04-01,19
2025,5,2025-05-01,32
2025,6,2025-06-01,24
2025,7,2025-07-01,37
2025,8,2025-08-01,14
2025,9,2025-09-01,24
2025,10,2025-10-01,24
2025,11,2025-11-01,18
2025,12,2025-12-01,18
2026,1,2026-01-01,22
2026,2,2026-02-01,17
2026,3,2026-03-01,26
2026,4,2026-04-01,15
